store_id,storetype_id,store_size,city_id
S0091,ST04,19,C013
S0012,ST04,28,C005
S0045,ST04,17,C008
S0032,ST03,14,C019
S0027,ST04,24,C022
S0088,ST04,20,C009
S0095,ST02,44,C014
S0055,ST04,24,C014
S0099,ST03,14,C014
S0078,ST04,19,C036
S0006,ST03,8,C024
S0135,ST03,16,C035
S0066,ST04,47,C033
S0106,ST04,21,C031
S0112,ST04,46,C031
S0059,ST03,15,C014
S0129,ST04,18,C021
S0116,ST03,15,C031
S0098,ST03,15,C022
S0049,ST04,25,C031
S0144,ST04,21,C022
S0097,ST04,45,C014
S0130,ST03,17,C037
S0041,ST03,8,C013
S0142,ST04,31,C006
S0123,ST04,20,C021
S0007,ST03,16,C014
S0107,ST04,19,C014
S0036,ST04,21,C001
S0044,ST03,6,C022
S0052,ST04,17,C014
S0101,ST04,30,C026
S0043,ST04,37,C025
S0141,ST03,12,C005
S0040,ST04,42,C017
S0037,ST04,18,C035
S0140,ST03,16,C022
S0016,ST03,11,C014
S0009,ST03,13,C020
S0074,ST03,12,C022
S0128,ST03,13,C022
S0105,ST04,25,C032
S0053,ST03,11,C031
S0011,ST03,15,C031
S0070,ST04,24,C030
S0084,ST04,19,C022
S0017,ST04,27,C030
S0113,ST04,25,C024
S0119,ST03,15,C031
S0089,ST03,18,C014
S0068,ST03,14,C003
S0103,ST04,22,C022
S0087,ST04,23,C031
S0029,ST03,15,C022
S0008,ST04,27,C024
S0046,ST04,26,C017
S0120,ST03,16,C014
S0092,ST04,23,C005
S0108,ST04,35,C016
S0124,ST03,15,C030
S0133,ST04,24,C028
S0131,ST04,22,C012
S0080,ST03,14,C014
S0014,ST03,14,C014
S0075,ST03,12,C024
S0048,ST01,83,C031
S0073,ST04,19,C014
S0002,ST04,39,C007
S0063,ST04,23,C033
S0004,ST04,20,C022
S0122,ST04,23,C008
S0020,ST04,36,C014
S0094,ST04,45,C006
S0082,ST04,23,C024
S0132,ST04,31,C011
S0085,ST01,60,C014
S0035,ST04,17,C022
S0125,ST04,24,C022
S0100,ST03,18,C030
S0033,ST03,16,C025
S0115,ST04,45,C020
S0102,ST04,27,C018
S0136,ST03,12,C005
S0096,ST04,30,C029
S0072,ST04,29,C014
S0021,ST03,15,C024
S0079,ST03,15,C028
S0031,ST04,41,C036
S0018,ST04,27,C029
S0090,ST02,28,C036
S0110,ST04,40,C025
S0067,ST04,16,C014
S0061,ST04,35,C019
S0076,ST03,11,C014
S0023,ST04,31,C008
S0083,ST04,23,C010
S0109,ST04,20,C005
S0057,ST03,16,C034
S0062,ST04,47,C014
S0104,ST04,47,C002
S0071,ST04,32,C014
S0060,ST04,25,C029
S0111,ST03,17,C022
S0121,ST03,18,C022
S0019,ST03,12,C030
S0047,ST03,14,C031
S0051,ST04,39,C027
S0026,ST04,41,C014
S0025,ST04,25,C024
S0015,ST04,19,C014
S0001,ST04,41,C031
S0127,ST03,8,C029
S0126,ST04,34,C014
S0114,ST03,15,C020
S0117,ST04,17,C031
S0024,ST04,26,C022
S0003,ST03,17,C014
S0028,ST01,86,C036
S0077,ST03,12,C014
S0093,ST04,16,C022
S0010,ST04,17,C014
S0034,ST03,14,C022
S0022,ST04,16,C014
S0038,ST01,63,C004
S0058,ST04,17,C014
S0069,ST02,18,C031
S0143,ST03,13,C014
S0039,ST03,15,C014
S0137,ST04,15,C022
S0081,ST03,15,C022
S0065,ST02,41,C036
S0139,ST04,20,C035
S0054,ST03,15,C022
S0030,ST03,13,C006
S0056,ST04,42,C015
S0138,ST04,30,C022
S0050,ST04,31,C014
S0005,ST04,19,C001
S0064,ST03,17,C026
S0013,ST04,33,C026
S0118,ST03,20,C023
S0042,ST04,25,C020
S0086,ST03,12,C003
S0134,ST03,12,C020
